ticker;nome;indice
AIRB34;Airbnb DRN;BDR
S2EA34;Sea Ltd DRN;BDR
T2DH34;Teladochealt DRN;BDR
S2NW34;Snowflake DRN;BDR
U2ST34;Unity Softwr DRN;BDR
B2YN34;Beyond Meat DRN;BDR
K2CG34;Kingsoft Chl DRN;BDR
T2TD34;Trade Desk DRN;BDR
R2BL34;Roblox Corp DRN;BDR
P2LT34;Palantirtech DRN;BDR
C2OI34;Coinbaseglob DRN;BDR
C2RW34;Crowdstrike DRN;BDR
U2PS34;Upstart Hold DRN;BDR
S2HO34;Shopify Inc DRN;BDR
AMZO34;Amazon DRN;BDR
TSLA34;Tesla Inc DRN;BDR
L1MN34;Lumen Tech DRN;BDR
B1NT34;Biontech Se DRN;BDR
M1RN34;Moderna Inc DRN;BDR
A1MD34;Advanced Mic DRN;BDR
BIDU34;Baidu Inc DRN;BDR
B2HI34;Bill Hold DRN;BDR
M1NS34;Monster Beve DRN;BDR
S2GM34;Sigma Lithm DRN;BDR
ROXO34;Nu Holdings DRN;BDR
S1BS34;Sibanye Stil DRN;BDR
JDCO34;Jd Com DRN;BDR
BABA34;Alibabagr DRN;BDR
E1CO34;Ecopetrol Sa DRN;BDR
L1YG34;Lloyds Banki DRN;BDR
ITLC34;Intel DRN;BDR
M2ST34;Strategy Inc DRN;BDR
BCSA34;Santander DRN;BDR
ARMT34;Arcelor DRN ED;BDR
V1OD34;Vodafone Gro DRN;BDR
A1NE34;Arista Netwo DRN;BDR
DISB34;Walt Disney DRN;BDR
P2AN34;Paloalto Net DRN;BDR
TLNC34;Telefonic DRN;BDR
SSFO34;Salesfor Inc DRN;BDR
T1OW34;American Tow DRN;BDR
AXPB34;American Exp DRN;BDR
CSCO34;Cisco DRN;BDR
JPMC34;Jpmorgan DRN;BDR
DGCO34;Dollar Gener DRN;BDR
CMCS34;Comcast DRN;BDR
ORCL34;Oracle DRN;BDR
A1AP34;Advance Auto DRN;BDR
ATTB34;Att Inc DRN;BDR
VERZ34;Verizon DRN;BDR
MSCD34;Mastercard DRN;BDR
